product-image,product-name,product-price
https://product.hstatic.net/1000304920/product/dinh-huong_black-magic-woman-lp-vinyl_47b9d5f0d7fc4ea2849aff48f1613e22_grande.jpg,ĐINH HƯƠNG - BLACK MAGIC WOMAN (LIMITED BABYPINK COLOR VINYL) - ĐĨA THAN,"1,099,000₫"
https://product.hstatic.net/1000304920/product/giang-trang_trinh-cuoi-cd_7706620792e3484eb2da1f3eb08d1113_grande.jpg,GIANG TRANG KỂ CHUYỆN TRỊNH CÔNG SƠN - TRỊNH CUỐI - ĐĨA CD,"350,000₫"
https://product.hstatic.net/1000304920/product/ed-sheeran-tour-collection-di-a-cd_9e0e5fd8a9f741d48d884e9a9d0c5c3e_grande.png,ED SHEERAN - +-=÷× TOUR COLLECTION - ĐĨA CD,"450,000₫"
https://product.hstatic.net/1000304920/product/cigarettes-after-sex-x-s-bang-cassette_da2117da3e7242419bcd5e995eae2fcd_grande.jpg,CIGARETTES AFTER SEX - X'S - BĂNG CASSETTE,"450,000₫"
https://product.hstatic.net/1000304920/product/kendrick-lamar-gnx-di-a-cd_a394b93441d74d1494da1e24a542ccf1_grande.png,KENDRICK LAMAR - GNX - ĐĨA CD,"450,000₫"
https://product.hstatic.net/1000304920/product/the-weeknd-hurry-up-tomorrow-vinyl-lp-dia-than_a434a6a8c5e9450ab8338f8b1e478d4c_grande.png,THE WEEKND - HURRY UP TOMORROW (VINYL LP) - ĐĨA THAN,"780,000₫"
https://product.hstatic.net/1000304920/product/the-weeknd-hurry-up-tomorrow-di-a-cd_6f1a061e03d64afdb1180b02279a38c3_grande.png,THE WEEKND - HURRY UP TOMORROW - ĐĨA CD,"450,000₫"
https://product.hstatic.net/1000304920/product/4c99c999e0983f314e104c5821c48193_1301024611_a2376209113e4274b2e2cac436cb9851_grande.jpg,PHƯƠNG VY - 20+ 2 - ĐĨA CD,"250,000₫ 200,000₫"
https://product.hstatic.net/1000304920/product/soobin_-_bat_no_len__translucent__22secret_22_color_vinyl__-_dia_than_9221182c939848f0a73300ee561e7cdc_grande.jpg,"SOOBIN - BẬT NÓ LÊN (""SECRET"" COLOR VINYL LP) - ĐĨA THAN","1,050,000₫"
https://product.hstatic.net/1000304920/product/h-carey-all-i-want-for-christmas-is-you-amazon-exclusive-bang-cassette_4ade978b22af4335aab87847406aa4f3_grande.jpg,MARIAH CAREY - ALL I WANT FOR CHRISTMAS IS YOU (AMAZON EXCLUSIVE) - BĂNG CASSETTE,"420,000₫"
https://product.hstatic.net/1000304920/product/mariah-carey-all-i-want-for-christmas-is-you-amazon-exclusive-di-a-cd_16c3a40468ad4e15b6ce95d0c0143a83_grande.jpg,MARIAH CAREY - ALL I WANT FOR CHRISTMAS IS YOU (AMAZON EXCLUSIVE) - ĐĨA CD,"420,000₫"
https://product.hstatic.net/1000304920/product/the_kollect-tai_sinh_12ab536ee5944112b71391bb22337fb1_grande.jpg,THE KOLLECT - TÁI SINH (THE 1ST STUDIO ALBUM) - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/the-velvet-underground-now-playing-vinyl-lp-dia-than_a4bc1458c16c4a529b02fc65bf235ee1_grande.png,THE VELVET UNDERGROUND - NOW PLAYING (VINYL LP) - ĐĨA THAN,"850,000₫"
https://product.hstatic.net/1000304920/product/selena-gomez-marshmello-wolves-7-inch-vinyl-lp-dia-than_2cd3d49b7dc34e4e93723e38ab25100c_grande.jpg,"SELENA GOMEZ, MARSHMELLO - WOLVES (7 INCH VINYL LP) - ĐĨA THAN","800,000₫"
https://product.hstatic.net/1000304920/product/doan_thuy_trang-hoa_may_mua_ca435b763de34665a906af4d95373522_grande.jpg,"ĐOÀN THUÝ TRANG - HOA, MÂY, MƯA - ĐĨA CD","300,000₫"
https://product.hstatic.net/1000304920/product/ft-the-tortured-poets-department-the-anthology-target-exclusive-dia-cd_d97616be9cdc4c53a2c0ca8dc0a8753a_grande.jpg,TAYLOR SWIFT - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY (TARGET EXCLUSIVE) - ĐĨA CD,"600,000₫"
https://product.hstatic.net/1000304920/product/nf-the-search-di-a-cd_7d5ca6435b714509bd340aa5b0d8f583_grande.jpeg,NF - THE SEARCH - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/gorillaz-gorillaz-vinyl-2lp-dia-than_96f4536b2a1a4c4ebfca42856bb668a4_grande.jpg,GORILLAZ - GORILLAZ (VINYL 2LP) - ĐĨA THAN,"1,000,000₫"
https://product.hstatic.net/1000304920/product/mitski-puberty-2-vinyl-lp-dia-than_993c7e74c26349168ef607cd04439f0f_grande.jpeg,MITSKI - PUBERTY 2 (VINYL LP) - ĐĨA THAN,"950,000₫"
https://product.hstatic.net/1000304920/product/boston-boston-vinyl-lp-dia-than_69c0453c49e442d7bfeacd6ffbab8056_grande.jpg,BOSTON - BOSTON (VINYL LP) - ĐĨA THAN,"880,000₫"
https://product.hstatic.net/1000304920/product/trinh_thang_binh-b369-vinyl_lp_2_164916453ac14ba3a8580be801ff76ec_grande.jpg,TRỊNH THĂNG BÌNH - B369 (VINYL LP) - ĐĨA THAN,"1,350,000₫"
https://product.hstatic.net/1000304920/product/trinh_thang_binh-b369-cd_cover_badb92511df24621bb7b08f559a85948_grande.jpg,TRỊNH THĂNG BÌNH - B369 (LIMITED BOXSET) - ĐĨA CD,"700,000₫"
https://product.hstatic.net/1000304920/product/lena-lemonade_cover_7459c55de7344843b9e3b57851438460_grande.jpg,LENA - LEMONADE (THE 1ST ALBUM) - ĐĨA CD,"300,000₫"
https://product.hstatic.net/1000304920/product/nguyen_thao-nu_cuoi-album_372436f929454e3b8bff36a84ab10c46_grande.jpg,NGUYÊN THẢO - NỤ CƯỜI - ĐĨA CD,"350,000₫"
https://product.hstatic.net/1000304920/product/artwork_tinhconmemai_1__2b2bc47538c54ed8a33bfa4499a90782_grande.jpg,TRỌNG BẮC HÁT HỒ TIẾN ĐẠT - TỈNH CƠN MÊ MẢI - ĐĨA CD,"350,000₫"
https://product.hstatic.net/1000304920/product/ho_tien_dat-tinh_con_me_mai-trong_bac-vinyl_fcb37da6cc6f4af8824e65eb2a207b10_grande.jpg,TRỌNG BẮC HÁT HỒ TIẾN ĐẠT - TỈNH CƠN MÊ MẢI (TRANSLUCENT TAN VINYL) - ĐĨA THAN,"1,100,000₫"
https://product.hstatic.net/1000304920/product/quang-quanh_1-100_cover_bcbe64be9d484d76ac6a557a5c4f7448_grande.jpeg,QUÀNG QUANH - 1/100 - ĐĨA CD,"250,000₫"
https://product.hstatic.net/1000304920/product/lee-fields-let-s-talk-it-over-deluxe-edition-di-a-cd_46b02233ce974994aadd18d58c2f5e95_grande.jpg,LEE FIELDS - LET'S TALK IT OVER (DELUXE EDITION) - ĐĨA CD,"360,000₫"
https://product.hstatic.net/1000304920/product/gayle-a-study-of-the-human-experience-volume-one-ep-di-a-cd_4951aeb3948b4ee780b6cd05a2760eb1_grande.jpeg,GAYLE - A STUDY OF THE HUMAN EXPERIENCE VOLUME ONE EP - ĐĨA CD,"360,000₫"
https://product.hstatic.net/1000304920/product/nhu_quynh-yeu_anh_em_chang_con_gi-cd_20f3b44b337343be86703c90b4e52a78_grande.jpg,NHƯ QUỲNH - YÊU ANH EM CHẲNG CÒN GÌ - ĐĨA CD,"400,000₫ 350,000₫"
